"Glengoyne 10yo","8.23","0.32","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Highland Park Svein","8.23","0.32","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Ichiro's Malt Mizunara Wood Reserve (MWR)","8.23","0.53","7","$$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Nikka Taketsuru NAS","8.23","0.38","5","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Auchentoshan Valinch","8.22","0.64","11","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Virgin Oak","8.22","0.56","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tamdhu 10yo","8.22","0.60","15","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bushmills 10yo Single Malt","8.19","0.32","17","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Glen Breton Ice 10yo","8.19","0.61","7","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Tullibardine Sovereign","8.19","0.25","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glendalough 7yo Single Malt Irish Whiskey","8.17","0.35","4","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Glenlossie 10yo (F&F)","8.17","0.29","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Nikka Gold & Gold","8.17","0.34","7","$$$","SingleMalt-like","GH","G","Japan","Malt"
"Stronachie 12yo","8.17","0.29","8","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tormore 14yo","8.17","0.33","5","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenrothes Bourbon Cask Reserve","8.16","0.16","3","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"White Oak Akashi 5yo","8.16","0.61","7","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Deanston Virgin Oak","8.15","0.46","12","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tomatin Legacy","8.15","0.46","10","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tyrconnell Single Malt Irish Whiskey","8.14","0.42","13","$$","SingleMalt-like","GH","H","Ireland","Malt"
"Cardhu 12yo","8.10","0.46","19","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Knappogue Castle Vintage","8.10","0.79","5","$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Glenturret 10yo","8.09","0.51","11","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton 14yo","8.08","0.62","6","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glenfiddich 12yo","8.08","0.25","23","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomatin Cu Bocan","8.08","0.33","11","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Speyburn 10yo","8.07","0.34","18","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tullibardine Aged Oak Edition","8.04","0.44","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton Rare 10yo","8.02","0.47","13","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glen Moray 12yo","8.01","0.28","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Spey 12yo (F&F)","8.01","0.50","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Kilbeggan Irish Reserve Malt Whiskey","7.97","0.53","6","$$","SingleMalt-like","GH","G","Ireland","Malt"
"Arran Malt Lochranza Reserve","7.96","0.67","3","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Moray Classic","7.96","0.25","5","$","SingleMalt-like","GH","G","Scotland","Malt"
"Knockando 12yo (All Vintages)","7.93","0.42","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant The Major's Reserve","7.91","0.67","9","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Classic","7.89","0.49","8","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Speyside 12yo","7.86","0.63","10","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tormore 12yo","7.86","0.36","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tomintoul 10yo","7.83","0.32","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Auchentoshan 10yo","7.76","0.38","10","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tamnavulin 12yo","7.67","0.86","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"BenRiach Heart of Speyside","7.63","0.99","6","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan American Oak","7.55","0.91","7","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Loch Lomond","7.54","0.47","10","$","SingleMalt-like","GH","H","Scotland","Malt"
"Caol Ila 30yo","9.33","0.24","9","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 30yo","9.20","0.33","13","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 18yo","9.18","0.20","16","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 16yo Local Barley","9.08","0.17","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Sigurd","9.04","0.30","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1994","9.03","0.36","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 21yo","9.03","0.24","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 15yo","9.02","0.23","13","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Talisker 25yo","8.98","0.30","15","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC10 Tro Na Linntean","8.97","0.45","9","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box The Lost Blend","8.96","0.25","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 18yo","8.96","0.19","17","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Distiller's Edition (all editions)","8.96","0.24","18","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1991","8.95","0.14","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1995","8.95","0.32","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 57 North","8.95","0.21","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Tomatin Cu Bocan 1989 Limited Edition","8.95","0.25","4","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 10yo","8.92","0.17","22","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC11 Eorna Na H-Alba","8.91","0.26","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart","8.91","0.34","18","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Elements of Islay ""Peat""","8.91","0.18","5","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts The Rockpool","8.90","0.28","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Mizunara Cask Finish","8.89","0.43","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 21yo Authenticus Peated","8.88","0.35","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC10 (Second Edition)","8.88","0.17","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 25yo","8.84","0.26","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Big Peat (Douglas Laing)","8.81","0.21","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 12yo Green","8.80","0.26","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 10yo Tempest","8.79","0.21","18","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Hakushu Single Malt Heavily Peated","8.79","0.33","12","$$$$$+","SingleMalt-like","I","I","Japan","Malt"
"Highland Park 12yo (reviews pre-mid 2014)","8.79","0.25","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Machrie Moor Cask Strength","8.78","0.08","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Pure Malt Black","8.78","0.22","13","$$$","SingleMalt-like","I","I","Japan","Malt"
"Bruichladdich Infinity Third Edition","8.77","0.27","5","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kavalan Distillery Reserve Peaty Cask","8.77","0.35","4","$$$$$+","SingleMalt-like","I","I","Taiwan","Malt"
"Nikka Yoichi 12yo","8.77","0.20","9","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Bruichladdich Port Charlotte Scottish Barley Heavily Peated","8.76","0.27","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Dark Storm","8.75","0.14","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 18yo","8.73","0.18","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 12yo","8.72","0.18","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte 10yo Heavily Peated","8.71","0.23","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte An Turas Mor","8.71","0.27","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 15yo Freya","8.71","0.40","12","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 17yo Ice","8.70","0.27","8","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 10yo","8.70","0.25","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benromach 10yo","8.69","0.27","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 10yo","8.68","0.28","16","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Bruichladdich Port Charlotte PC12 Oileanach Furachail","8.67","0.61","5","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 18yo","8.67","0.50","14","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (all reviews)","8.67","0.21","23","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 15yo","8.67","0.29","11","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Bowmore 15yo Mariner","8.65","0.44","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Pure Malt White","8.65","0.32","12","$$$","SingleMalt-like","I","I","Japan","Malt"
"BenRiach 25yo Authenticus Peated","8.64","0.60","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Storm","8.61","0.26","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 10yo Curiositas","8.60","0.30","17","$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach Peated Quarter Casks","8.59","0.31","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Fettercairn Fior","8.58","0.39","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Islay Barley (all vintages)","8.57","0.23","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Eleuthera","8.56","0.39","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 12yo","8.56","0.33","7","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Bowmore 18yo","8.55","0.47","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Longrow 7yo Gaja Barolo Finish","8.55","0.55","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1997","8.54","0.15","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Westland Peated","8.53","0.57","6","$$$$","SingleMalt-like","I","I","USA","Malt"
"Ardmore Traditional Cask","8.52","0.21","19","$$$","SingleMalt-like","I","I","Scotland","Malt"
"GlenDronach Peated","8.50","0.32","9","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo White Sands","8.48","0.55","5","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 10yo","8.47","0.27","14","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 14yo","8.45","0.39","15","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (reviews post-mid 2014)","8.43","0.34","13","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 10yo","8.42","0.32","7","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Nikka Yoichi NAS","8.42","0.33","8","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Wemyss Malts Peat Chimney","8.40","0.52","11","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban Little Bay","8.39","0.43","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 12yo","8.38","0.29","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo","8.34","0.65","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Scotia 12yo","8.31","0.52","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Penderyn Peated","8.29","0.58","9","$$$$","SingleMalt-like","I","I","Wales","Malt"
"Bowmore Gold Reef","8.28","0.38","5","$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Einar","8.28","0.38","7","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 10yo (Tobermory)","8.28","0.37","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach Birnie Moss","8.27","0.37","10","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Small Batch","8.27","0.57","10","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jura Superstition","8.25","0.45","19","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Old Ballantruan Peated (Toumintoul)","8.25","0.40","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank CV","8.25","0.38","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"St George's Chapter 9 (peated)","8.20","0.45","5","$$$","SingleMalt-like","I","I","England","Malt"
"Connemara Peated Single Malt","8.15","0.48","15","$$$","SingleMalt-like","I","I","Ireland","Malt"
"Glenrothes Peated Cask Reserve","8.10","0.55","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jura 10yo Origin","8.02","0.38","16","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Machrie Moor Peated (all editions)","7.88","0.55","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Legend","7.65","0.59","10","$$","SingleMalt-like","I","I","Scotland","Malt"
"Longrow 10yo Tokaji Finish","7.49","1.06","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Brora 35yo","9.44","0.34","10","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Brora 30yo","9.29","0.21","17","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 16yo","9.24","0.23","25","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 10 (Second Edition)","9.21","0.22","3","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Uigeadail","9.20","0.41","22","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 21yo","9.18","0.23","8","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2015","9.17","0.17","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Peated Single Malt Cask Strength","9.15","0.20","9","$$$$","SingleMalt-like","J","J","India","Malt"
"Ardbeg 21yo","9.12","0.23","8","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 12yo Cask Strength","9.12","0.18","19","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.2","9.11","0.27","8","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow 18yo","9.10","0.25","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Corryvreckan","9.09","0.31","20","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2014","9.05","0.31","14","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 17yo","9.04","0.26","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Alligator","9.04","0.16","13","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin Distiller's Edition (All Vintages)","9.04","0.23","20","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 18yo","9.04","0.27","18","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Quarter Cask","9.03","0.27","21","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Ardbog The Ultimate","9.02","0.44","18","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Cutter","9.01","0.55","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2015","9.01","0.34","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Rutter","8.98","0.30","6","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.1","8.98","0.28","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo Cask Strength (all batches)","8.98","0.35","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.2","8.96","0.33","6","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.3","8.96","0.46","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2014 Amontillado","8.96","0.22","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 10yo","8.95","0.33","23","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut 100 Peated","8.92","0.38","6","$$$$","SingleMalt-like","J","J","India","Malt"
"Ardbeg Dark Cove","8.92","0.33","15","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Perpetuum","8.90","0.37","14","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Auriverdes","8.89","0.38","16","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 10","8.88","0.40","5","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Port Charlotte Islay Barley Heavily Peated","8.88","0.18","3","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Loch Gorm","8.88","0.29","18","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Big Peat Christmas Edition (2012-2016)","8.86","0.15","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Brora 21yo","8.86","0.40","4","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo","8.86","0.25","20","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig An Cuan Mor","8.86","0.13","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Lore","8.85","0.31","13","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 8yo","8.84","0.26","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2016 Madeira","8.84","0.45","10","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask","8.83","0.35","9","$$$$","SingleMalt-like","J","J","India","Malt"
"Ileach Peated Islay Cask Strength","8.83","0.38","8","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow CV","8.82","0.30","15","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow Peated","8.82","0.18","12","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Cebanach","8.81","0.27","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ichiro's Malt Chichibu The Peated","8.81","0.34","7","$$$$$+","SingleMalt-like","J","J","Japan","Malt"
"Bruichladdich Octomore 6.3","8.78","0.62","8","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Machir Bay (all vintages)","8.78","0.26","20","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 15yo (200th Anniversary)","8.78","0.31","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman 100% Islay (all editions)","8.77","0.27","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Wemyss Malts Kiln Embers","8.77","0.09","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Connemara Turf Mor","8.75","0.45","11","$$$$","SingleMalt-like","J","J","Ireland","Malt"
"Bruichladdich Octomore 6.1","8.72","0.26","13","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 18yo Dunder","8.70","0.26","4","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Sanaig","8.70","0.27","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Triple Wood","8.70","0.34","17","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Peated Single Malt","8.69","0.34","11","$$$$","SingleMalt-like","J","J","India","Malt"
"Caol Ila Distiller's Edition (all editions)","8.67","0.39","12","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster","8.66","0.33","18","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Jura Prophecy","8.65","0.32","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Toiteach","8.59","0.37","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Flaughter","8.58","0.34","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.4","8.56","0.69","7","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Winter 2010 Release","8.54","0.16","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 17yo Septendecim Peated","8.53","0.56","17","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Port Charlotte The Peat Project","8.50","0.40","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Finlaggan Old Reserve","8.45","0.50","14","$$","SingleMalt-like","J","J","Scotland","Malt"
"Benromach Peat Smoke","8.43","0.27","13","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ileach Peated Islay","8.30","0.31","7","$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig QA Cask","8.29","0.57","9","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Tomintoul Peaty Tang","7.88","0.71","11","$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box The General","9.20","0.28","10","$$$$$+","Scotch-like","","","Scotland","Blend"
"Compass Box The Circus","8.94","0.28","4","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism Quindecimus","8.91","0.41","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Powers 12yo John's Lane","8.81","0.41","13","$$$$","Scotch-like","","","Ireland","Blend"
"Ballantine's 17yo","8.79","0.35","14","$$$$","Scotch-like","","","Scotland","Blend"
"High West Campfire","8.78","0.35","11","$$$$","Scotch-like","","","USA","Blend"
"Yellow Spot","8.77","0.26","14","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Blender's Dog Irish Whiskey","8.72","0.30","3","$$$$","Scotch-like","","","Ireland","Blend"
"Chivas Regal 25yo","8.71","0.21","7","$$$$$+","Scotch-like","","","Scotland","Blend"
"The Irishman Cask Strength","8.67","0.25","4","$$$$$","Scotch-like","","","Ireland","Blend"
"Powers 12yo Reserve","8.62","0.25","6","$$$","Scotch-like","","","Ireland","Blend"
"Jameson Cooper's Croze Irish Whiskey","8.60","0.43","3","$$$$","Scotch-like","","","Ireland","Blend"
"Compass Box Great King St Artist's Blend","8.59","0.38","18","$$","Scotch-like","","","Scotland","Blend"
"Nikka Coffey Grain","8.59","0.50","15","$$$$","Scotch-like","","","Japan","Grain"
"Compass Box Great King St Glasgow Blend","8.57","0.24","11","$$$","Scotch-like","","","Scotland","Blend"
"Chivas Royal Salute 21yo","8.56","0.64","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism","8.53","0.47","17","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Blue Label","8.53","0.37","14","$$$$$","Scotch-like","","","Scotland","Blend"
"Teeling Single Grain (Wine Cask Finish)","8.53","0.32","10","$$$","Scotch-like","","","Ireland","Grain"
"Cutty Sark Prohibition","8.52","0.50","11","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Green Label","8.52","0.40","16","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Explorers Club The Gold Route","8.49","0.34","8","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Platinum Label","8.49","0.43","14","$$$$","Scotch-like","","","Scotland","Blend"
"The Nikka 12yo Premium Blended","8.49","0.14","3","$$$$","Scotch-like","","","Japan","Blend"
"T Bheag","8.47","0.29","14","$$","Scotch-like","","","Scotland","Blend"
"Famous Grouse Gold Reserve 12yo","8.45","0.34","9","$$","Scotch-like","","","Scotland","Blend"
"Jameson Distiller's Safe Irish Whiskey","8.45","0.65","3","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Gold Reserve","8.44","0.42","9","$$$$","Scotch-like","","","Ireland","Blend"
"Writers Tears Pot Still Irish Whiskey","8.44","0.38","15","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Double Black","8.42","0.45","14","$$","Scotch-like","","","Scotland","Blend"
"Three Ships 10yo","8.42","0.38","9","$$$$","Scotch-like","","","South Africa","Blend"
"Jameson Bold Irish Whiskey","8.38","0.40","3","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Signature Reserve","8.38","0.32","5","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorers Club The Spice Road","8.37","0.57","9","$$","Scotch-like","","","Scotland","Blend"
"Jameson 12yo Special Reserve","8.36","0.24","10","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Rye Cask Finish","8.36","0.59","5","$$$","Scotch-like","","","Scotland","Blend"
"Bushmills Black Bush","8.35","0.40","20","$$","Scotch-like","","","Ireland","Blend"
"Kirin 50% Blend (Fuji Gotemba)","8.35","0.49","3","$$$$","Scotch-like","","","Japan","Blend"
"Jameson Select Reserve (Black Barrel)","8.34","0.38","16","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorers Club The Royal Route","8.33","0.42","7","$$$$$","Scotch-like","","","Scotland","Blend"
"The Irishman Founders Reserve","8.32","0.38","6","$$","Scotch-like","","","Ireland","Blend"
"Suntory Old Whisky","8.30","0.33","7","$$$","Scotch-like","","","Japan","Blend"
"Bank Note 5yo Blended Scotch","8.28","0.58","4","$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Gold Label Reserve","8.28","0.34","16","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Black Label","8.27","0.46","22","$$","Scotch-like","","","Scotland","Blend"
"Jameson Caskmates","8.26","0.57","7","$$","Scotch-like","","","Ireland","Blend"
"Black Bottle (pre-2013)","8.23","0.50","13","$$","Scotch-like","","","Scotland","Blend"
"Compass Box Asyla","8.22","0.50","12","$$$","Scotch-like","","","Scotland","Blend"
"Chivas Regal 18yo","8.20","0.54","13","$$$$","Scotch-like","","","Scotland","Blend"
"Bain's Cape Mountain Whisky","8.18","0.50","7","$$","Scotch-like","","","South Africa","Grain"
"Suntory Toki","8.17","0.46","6","$$$","Scotch-like","","","Japan","Blend"
"The Irishman Original Clan Irish Whiskey","8.16","0.22","4","$$","Scotch-like","","","Ireland","Blend"
"Famous Jubilee","8.15","0.12","3","$$","Scotch-like","","","Scotland","Blend"
"Kakubin (Suntory Whisky)","8.15","0.87","4","$$","Scotch-like","","","Japan","Blend"
"Teeling Poitin","8.14","0.24","5","$$","Scotch-like","","","Ireland","Blend"
